Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
PS2,2007,Action,Disney Interactive Studios,0.42,54.0,10,7.0,10,Eurocom Entertainment Software,T,2000s,Other,2.3978952727983707,2.3978952727983707
PS,2000,Adventure,Capcom,0.42,76.0,10,8.8,29,Capcom,E,2000s,Other,2.3978952727983707,3.4011973816621555
X360,2006,Simulation,Ubisoft,0.42,66.0,58,7.9,53,Ubisoft,T,2000s,Other,4.07753744390572,3.9889840465642745
3DS,2013,Action,Screenlife,0.42,46.0,22,4.5,34,Spike Chunsoft,M,2010s,Other,3.1354942159291497,3.5553480614894135
PS2,2004,Action,Midway Games,0.42,77.0,47,8.9,40,Surreal Software,M,2000s,Other,3.8712010109078907,3.713572066704308
XB,2001,Simulation,LucasArts,0.42,76.0,22,7.5,27,Secret Level,T,2000s,Other,3.1354942159291497,3.332204510175204
WiiU,2015,Misc,Nintendo,0.41,46.0,20,4.4,173,"Nintendo, Nd Cube",E,2010s,Other,3.044522437723423,5.159055299214529
PS2,2003,Simulation,Konami Digital Entertainment,0.41,82.0,33,8.9,65,KCEJ,M,2000s,Other,3.5263605246161616,4.189654742026425
PS4,2013,Misc,Ubisoft,0.41,75.0,4,5.5,51,Ubisoft,E10+,2010s,Other,1.6094379124341003,3.9512437185814275
PS2,2003,Sports,Sony Computer Entertainment,0.41,65.0,25,8.7,6,989 Sports,E,2000s,Other,3.258096538021482,1.9459101490553132
X360,2005,Action,Sega,0.41,81.0,72,8.2,146,Monolith Productions,M,2000s,Other,4.290459441148391,4.990432586778736
PS2,2007,Action,Vivendi Games,0.41,70.0,12,5.9,48,Radical Entertainment,E10+,2000s,Other,2.5649493574615367,3.8918202981106265
XOne,2016,Sports,Electronic Arts,0.41,76.0,42,6.0,77,EA Sports,T,2010s,Other,3.7612001156935624,4.356708826689592
XB,2005,Shooter,Ubisoft,0.41,74.0,39,6.6,28,"Red Storm Entertainment, Ubisoft Montreal",M,2000s,Other,3.6888794541139363,3.367295829986474
X360,2007,Shooter,Vivendi Games,0.41,70.0,58,7.9,63,Saber Interactive,M,2000s,Other,4.07753744390572,4.1588830833596715
PS,2000,Sports,Sony Computer Entertainment,0.41,56.0,10,7.5,27,Idol Minds,E,2000s,Other,2.3978952727983707,3.332204510175204
PS4,2016,Simulation,Focus Home Interactive,0.41,69.0,17,8.7,12,Maximum Games,E,2010s,Other,2.8903717578961645,2.5649493574615367
PSP,2007,Platform,Konami Digital Entertainment,0.41,80.0,43,7.8,62,Konami,T,2000s,Other,3.784189633918261,4.143134726391533
PS3,2010,Action,Ubisoft,0.41,70.0,30,6.8,19,Ubisoft,T,2010s,Other,3.4339872044851463,2.995732273553991
PS2,2006,Action,Activision,0.41,52.0,44,7.5,20,"Z-Axis, Ltd.",T,2000s,Other,3.8066624897703196,3.044522437723423
PS3,2013,Action,505 Games,0.41,81.0,12,7.9,70,Engine Software,T,2010s,Other,2.5649493574615367,4.2626798770413155
XOne,2015,Action,Warner Bros. Interactive Entertainment,0.41,80.0,12,6.9,27,Traveller's Tales,E10+,2010s,Other,2.5649493574615367,3.332204510175204
PSP,2010,Sports,Sega,0.41,77.0,5,7.7,6,Sports Interactive,E,2010s,Other,1.791759469228055,1.9459101490553132
PSP,2007,Action,Warner Bros. Interactive Entertainment,0.41,55.0,31,7.1,14,Collision Studios,M,2000s,Other,3.4657359027997265,2.70805020110221
DS,2009,Fighting,THQ,0.41,61.0,4,2.8,4,THQ,E10+,2000s,Other,1.6094379124341003,1.6094379124341003
XOne,2014,Sports,Electronic Arts,0.41,59.0,22,3.2,180,EA Sports,E10+,2010s,Other,3.1354942159291497,5.198497031265826
PC,2016,Shooter,Ubisoft,0.41,79.0,33,5.8,1188,Massive Entertainment,M,2010s,Other,3.5263605246161616,7.080867896690782
Wii,2009,Adventure,Knowledge Adventure,0.41,68.0,8,7.5,27,Knowledge Adventure Inc.,E,2000s,Other,2.1972245773362196,3.332204510175204
PS3,2010,Misc,MTV Games,0.41,76.0,41,6.3,24,"Harmonix Music Systems, Demiurge Studios",T,2010s,Other,3.7376696182833684,3.2188758248682006
PS3,2014,Racing,Codemasters,0.41,62.0,19,4.1,28,Codemasters Birmingham,E,2010s,Other,2.995732273553991,3.367295829986474
PS3,2007,Racing,THQ,0.41,63.0,8,4.8,4,Rainbow Studios,E,2000s,Other,2.1972245773362196,1.6094379124341003
WiiU,2012,Shooter,Activision,0.41,81.0,31,6.9,228,Treyarch,M,2010s,Call of Duty,3.4657359027997265,5.43372200355424
PC,2007,Shooter,Take-Two Interactive,0.41,96.0,44,8.5,3606,"Irrational Games, 2K Marin",M,2000s,Other,3.8066624897703196,8.19063168090354
PS2,2002,Action,Atari,0.41,58.0,17,5.7,18,Paradigm Entertainment,T,2000s,Other,2.8903717578961645,2.9444389791664403
Wii,2007,Shooter,Electronic Arts,0.41,73.0,37,7.6,82,EA Canada,T,2000s,Other,3.6375861597263857,4.418840607796598
X360,2011,Sports,Take-Two Interactive,0.41,84.0,54,8.2,70,2K Czech,E,2010s,Other,4.007333185232471,4.2626798770413155
DS,2009,Adventure,THQ,0.41,53.0,8,7.5,27,THQ,T,2000s,Other,2.1972245773362196,3.332204510175204
PS2,2001,Simulation,Metro 3D,0.41,75.0,16,8.8,30,From Software,T,2000s,Other,2.833213344056216,3.4339872044851463
GC,2002,Fighting,Midway Games,0.41,81.0,20,8.7,43,Midway,M,2000s,Other,3.044522437723423,3.784189633918261
Wii,2007,Platform,Sega,0.41,69.0,47,8.5,55,"Sega, Sonic Team",E,2000s,Other,3.8712010109078907,4.02535169073515
PC,2014,Shooter,Activision,0.41,78.0,18,4.5,1136,Sledgehammer Games,M,2010s,Call of Duty,2.9444389791664403,7.036148493750536
PS2,2005,Platform,Midway Games,0.41,50.0,5,7.6,16,Artificial Mind and Movement,E,2000s,Other,1.791759469228055,2.833213344056216
PS2,2001,Platform,Ubisoft,0.41,59.0,7,7.1,7,Ubisoft,E,2000s,Other,2.0794415416798357,2.0794415416798357
PS3,2011,Fighting,THQ,0.41,75.0,51,6.4,36,THQ,T,2010s,Other,3.9512437185814275,3.6109179126442243
X360,2010,Misc,MTV Games,0.41,75.0,54,6.6,32,"Harmonix Music Systems, Demiurge Studios",T,2010s,Other,4.007333185232471,3.4965075614664802
DS,2010,Action,Electronic Arts,0.41,56.0,6,6.0,4,Full Fat,E10+,2010s,Other,1.9459101490553132,1.6094379124341003
PSV,2012,Shooter,Sony Computer Entertainment,0.41,60.0,63,6.8,245,Nihilistic,M,2010s,Other,4.1588830833596715,5.5053315359323625
X360,2006,Shooter,Electronic Arts,0.41,77.0,54,7.3,79,Digital Illusions,T,2000s,Other,4.007333185232471,4.382026634673881
PS,2000,Fighting,Electronic Arts,0.41,84.0,11,8.5,6,EA Sports,T,2000s,Other,2.4849066497880004,1.9459101490553132
PS2,2005,Action,Electronic Arts,0.41,69.0,29,7.6,36,EA Redwood Shores,T,2000s,Other,3.4011973816621555,3.6109179126442243
X360,2011,Simulation,THQ,0.41,66.0,11,7.5,4,Blitz Games Studios,E,2010s,Other,2.4849066497880004,1.6094379124341003
PS3,2010,Fighting,PQube,0.41,87.0,29,8.0,65,Arc System Works,T,2010s,Other,3.4011973816621555,4.189654742026425
PC,2011,Shooter,Take-Two Interactive,0.41,54.0,48,5.7,1183,"Gearbox Software, 3D Realms",M,2010s,Other,3.8918202981106265,7.076653815443951
PS2,2002,Action,Activision,0.41,50.0,26,5.0,14,Treyarch,T,2000s,Other,3.295836866004329,2.70805020110221
PS3,2009,Puzzle,Namco Bandai Games,0.4,74.0,51,8.1,50,Bandai Namco Games,E,2000s,Other,3.9512437185814275,3.9318256327243257
PS,2001,Sports,Sony Computer Entertainment,0.4,62.0,10,8.8,4,989 Sports,E,2000s,Other,2.3978952727983707,1.6094379124341003
X360,2008,Action,Activision,0.4,68.0,57,8.6,87,Shaba Games,T,2000s,Other,4.060443010546419,4.477336814478207
X360,2010,Action,505 Games,0.4,43.0,51,5.6,70,Artificial Mind and Movement,T,2010s,Other,3.9512437185814275,4.2626798770413155
GC,2003,Platform,THQ,0.4,71.0,16,8.2,9,Avalanche Software,E,2000s,Other,2.833213344056216,2.302585092994046
Wii,2009,Misc,Ubisoft,0.4,43.0,7,7.1,7,7 Studios,E10+,2000s,Other,2.0794415416798357,2.0794415416798357
X360,2007,Action,Ubisoft,0.4,51.0,23,4.7,30,Ubisoft Shanghai,M,2000s,Other,3.1780538303479458,3.4339872044851463
Wii,2010,Sports,Electronic Arts,0.4,79.0,43,8.5,20,EA Canada,E,2010s,Other,3.784189633918261,3.044522437723423
DS,2009,Role-Playing,Rising Star Games,0.4,77.0,10,8.6,46,Neverland,E,2000s,Other,2.3978952727983707,3.8501476017100584
PS4,2015,Role-Playing,Namco Bandai Games,0.4,72.0,59,6.8,315,Bandai Namco Games,T,2010s,Other,4.0943445622221,5.755742213586912
PS3,2013,Adventure,Konami Digital Entertainment,0.4,93.0,4,9.0,255,Konami,M,2010s,Other,1.6094379124341003,5.545177444479562
PS2,2002,Misc,Midway Games,0.4,73.0,24,7.8,6,7 Studios,T,2000s,Other,3.2188758248682006,1.9459101490553132
PS2,2005,Role-Playing,Midway Games,0.4,59.0,38,5.7,20,Midway,T,2000s,Other,3.6635616461296463,3.044522437723423
GC,2003,Sports,Electronic Arts,0.4,68.0,16,8.5,10,Electronic Arts,E,2000s,Other,2.833213344056216,2.3978952727983707
X360,2007,Strategy,Codemasters,0.4,76.0,47,8.3,70,Triumph Studios,T,2000s,Other,3.8712010109078907,4.2626798770413155
PS2,2008,Action,Disney Interactive Studios,0.4,67.0,6,7.0,8,Traveller's Tales,T,2000s,Other,1.9459101490553132,2.1972245773362196
PS4,2016,Adventure,Square Enix,0.4,85.0,23,8.6,672,DONTNOD Entertainment,M,2010s,Other,3.1780538303479458,6.511745329644728
GC,2005,Strategy,Nintendo,0.4,76.0,43,8.8,18,Kuju Entertainment,T,2000s,Other,3.784189633918261,2.9444389791664403
GC,2004,Action,THQ,0.4,49.0,6,7.5,27,Pacific Coast Power & Light,E,2000s,Other,1.9459101490553132,3.332204510175204
WiiU,2013,Action,Nintendo,0.4,78.0,75,8.5,495,PlatinumGames,T,2010s,Other,4.330733340286331,6.206575926724928
Wii,2011,Misc,THQ,0.4,59.0,12,7.5,27,WayForward,E,2010s,Other,2.5649493574615367,3.332204510175204
PS3,2012,Action,Capcom,0.4,71.0,39,7.4,169,CyberConnect2,T,2010s,Other,3.6888794541139363,5.135798437050262
PS2,2001,Racing,Acclaim Entertainment,0.4,61.0,11,5.7,18,Acclaim Studios Cheltenham,E,2000s,Other,2.4849066497880004,2.9444389791664403
PS3,2008,Platform,THQ,0.4,51.0,24,5.0,7,Heavy Iron Studios,E,2000s,Other,3.2188758248682006,2.0794415416798357
PS2,2004,Misc,Atari,0.4,66.0,12,4.3,6,Digital Eclipse,E,2000s,Other,2.5649493574615367,1.9459101490553132
PC,2013,Sports,Electronic Arts,0.4,87.0,6,4.6,441,EA Canada,E,2010s,FIFA,1.9459101490553132,6.091309882077698
PS2,2005,Sports,Sony Computer Entertainment,0.4,81.0,32,9.0,21,989 Sports,E,2000s,Other,3.4965075614664802,3.091042453358316
PSV,2012,Role-Playing,GungHo,0.4,66.0,21,7.8,111,Game Arts,T,2010s,Other,3.091042453358316,4.718498871295094
X360,2011,Shooter,Microsoft Game Studios,0.4,77.0,60,8.1,40,Twisted Pixel Games,T,2010s,Other,4.110873864173311,3.713572066704308
Wii,2006,Role-Playing,Activision,0.4,73.0,31,7.3,29,Vicarious Visions,T,2000s,Other,3.4657359027997265,3.4011973816621555
XB,2005,Racing,THQ,0.4,80.0,21,8.3,13,Rainbow Studios,E,2000s,Other,3.091042453358316,2.639057329615259
PC,2012,Action,Electronic Arts,0.4,86.0,7,6.6,286,Electronic Arts,E,2010s,FIFA,2.0794415416798357,5.659482215759621
GC,2006,Action,Midway Games,0.4,57.0,24,6.7,6,"Pipeworks Software, Inc.",E10+,2000s,Other,3.2188758248682006,1.9459101490553132
GC,2004,Simulation,Electronic Arts,0.4,73.0,19,8.4,16,Maxis,T,2000s,Other,2.995732273553991,2.833213344056216
GBA,2004,Action,THQ,0.4,53.0,4,7.5,27,Altron,E,2000s,Other,1.6094379124341003,3.332204510175204
PSP,2005,Fighting,THQ,0.4,81.0,30,8.5,37,Yuke's,T,2000s,Other,3.4339872044851463,3.6375861597263857
PC,2010,Action,Take-Two Interactive,0.4,77.0,46,7.9,1238,2K Czech,M,2010s,Other,3.8501476017100584,7.122059881629142
XB,2001,Sports,Electronic Arts,0.4,76.0,15,7.5,6,Electronic Arts,E,2000s,Other,2.772588722239781,1.9459101490553132
PS3,2008,Sports,Sega,0.4,67.0,31,7.4,7,Sumo Digital,E10+,2000s,Other,3.4657359027997265,2.0794415416798357
Wii,2009,Simulation,Electronic Arts,0.4,61.0,23,7.1,36,Maxis,E10+,2000s,Other,3.1780538303479458,3.6109179126442243
PS2,2003,Platform,Sony Computer Entertainment,0.4,73.0,39,8.3,22,Argonaut Games,T,2000s,Other,3.6888794541139363,3.1354942159291497
DS,2009,Action,Atari,0.4,55.0,17,6.0,7,Zen Studios,E,2000s,Other,2.8903717578961645,2.0794415416798357
GC,2004,Shooter,Activision,0.4,74.0,31,8.9,13,Exakt,T,2000s,Call of Duty,3.4657359027997265,2.639057329615259
DS,2007,Role-Playing,D3Publisher,0.4,57.0,18,7.2,9,TOSE,E10+,2000s,Other,2.9444389791664403,2.302585092994046
DS,2006,Platform,Konami Digital Entertainment,0.4,85.0,51,8.3,87,Konami,T,2000s,Other,3.9512437185814275,4.477336814478207
PS2,2005,Racing,Jester Interactive,0.4,71.0,7,8.5,8,Jester Interactive,E,2000s,Other,2.0794415416798357,2.1972245773362196
PS2,2004,Fighting,Konami Digital Entertainment,0.39,66.0,44,8.5,20,Yuke's,M,2000s,Other,3.8066624897703196,3.044522437723423
X360,2007,Action,Eidos Interactive,0.39,77.0,33,8.3,39,Crystal Dynamics,T,2000s,Other,3.5263605246161616,3.6888794541139363
DS,2009,Adventure,Focus Home Interactive,0.39,57.0,8,3.1,9,"Frogwares, Mistic Software",E,2000s,Other,2.1972245773362196,2.302585092994046
PS2,2007,Action,Take-Two Interactive,0.39,36.0,7,6.4,17,7 Studios,T,2000s,Other,2.0794415416798357,2.8903717578961645
XB,2005,Action,Activision,0.39,77.0,53,7.4,20,Treyarch,T,2000s,Other,3.9889840465642745,3.044522437723423
PS2,2007,Racing,THQ,0.39,66.0,4,6.7,10,Juice Games,T,2000s,Other,1.6094379124341003,2.3978952727983707
3DS,2012,Action,Warner Bros. Interactive Entertainment,0.39,61.0,4,7.6,10,TT Games,E10+,2010s,Other,1.6094379124341003,2.3978952727983707
Wii,2010,Action,Rising Star Games,0.39,84.0,68,8.8,184,Grasshopper Manufacture,M,2010s,Other,4.23410650459726,5.220355825078325
PS,2000,Racing,Hasbro Interactive,0.39,62.0,5,7.5,27,Monster Games Inc.,E,2000s,Other,1.791759469228055,3.332204510175204
X360,2009,Fighting,THQ,0.39,71.0,59,6.3,23,Yuke's,T,2000s,Other,4.0943445622221,3.1780538303479458
Wii,2011,Sports,Namco Bandai Games,0.39,69.0,9,7.0,8,Prope,E,2010s,Other,2.302585092994046,2.1972245773362196
PS3,2012,Simulation,Namco Bandai Games,0.39,65.0,26,7.3,47,From Software,T,2010s,Other,3.295836866004329,3.8712010109078907
PC,2010,Role-Playing,Electronic Arts,0.39,94.0,55,8.8,3559,BioWare,M,2010s,Other,4.02535169073515,8.177515823846075
PS3,2010,Action,Electronic Arts,0.39,38.0,27,2.8,23,EA Bright Light,T,2010s,Other,3.332204510175204,3.1780538303479458
XB,2002,Shooter,Sega,0.39,72.0,30,7.3,9,Wow Entertainment,M,2000s,Other,3.4339872044851463,2.302585092994046
3DS,2012,Role-Playing,Namco Bandai Games,0.39,70.0,53,7.3,146,"Monolith Soft, Banpresto",T,2010s,Other,3.9889840465642745,4.990432586778736
PS3,2010,Sports,Electronic Arts,0.39,71.0,33,5.7,14,EA Canada,E,2010s,Other,3.5263605246161616,2.70805020110221
XOne,2016,Role-Playing,Namco Bandai Games,0.39,87.0,14,8.6,514,From Software,Unknown,2010s,Other,2.70805020110221,6.244166900663736
X360,2010,Sports,Electronic Arts,0.39,75.0,30,7.0,24,EA Canada,E,2010s,Other,3.4339872044851463,3.2188758248682006
3DS,2011,Sports,Electronic Arts,0.39,49.0,18,5.3,16,EA Tiburon,E,2010s,Madden,2.9444389791664403,2.833213344056216
GC,2004,Misc,Nintendo,0.39,69.0,30,6.0,9,Namco,T,2000s,Other,3.4339872044851463,2.302585092994046
PS3,2012,Action,Activision,0.39,77.0,32,8.2,87,High Moon Studios,T,2010s,Other,3.4965075614664802,4.477336814478207
X360,2010,Role-Playing,Sega,0.39,63.0,68,7.2,201,Obsidian Entertainment,M,2010s,Other,4.23410650459726,5.308267697401205
XB,2003,Sports,Electronic Arts,0.39,92.0,27,8.7,25,EA Canada,E,2000s,Other,3.332204510175204,3.258096538021482
3DS,2011,Strategy,Ubisoft,0.39,44.0,18,5.3,9,Ubisoft,E10+,2010s,Other,2.9444389791664403,2.302585092994046
GBA,2004,Sports,Electronic Arts,0.39,79.0,9,7.6,5,Exient Entertainment,E,2000s,Madden,2.302585092994046,1.791759469228055
Wii,2009,Action,Square Enix,0.39,66.0,53,7.6,70,Square Enix,T,2000s,Final Fantasy,3.9889840465642745,4.2626798770413155
PS4,2016,Adventure,Sony Computer Entertainment,0.39,72.0,49,8.0,68,SuperMassive Games,M,2010s,Other,3.912023005428146,4.23410650459726
WiiU,2013,Platform,Sega,0.39,63.0,64,7.3,461,Sonic Team,E10+,2010s,Other,4.174387269895637,6.135564891081739
PS4,2013,Platform,Activision,0.39,79.0,7,5.2,45,Vicarious Visions,E10+,2010s,Other,2.0794415416798357,3.828641396489095
PS3,2010,Action,Sega,0.39,41.0,28,5.2,36,Sega Studios San Francisco,T,2010s,Other,3.367295829986474,3.6109179126442243
X360,2009,Action,LucasArts,0.39,43.0,37,6.3,19,Krome Studios,T,2000s,Other,3.6375861597263857,2.995732273553991
PS2,2000,Fighting,Ubisoft,0.39,62.0,13,8.4,8,Light Weight,M,2000s,Other,2.639057329615259,2.1972245773362196
PS2,2002,Action,Eidos Interactive,0.39,67.0,18,8.8,19,Crystal Dynamics,M,2000s,Other,2.9444389791664403,2.995732273553991
PS3,2010,Misc,Electronic Arts,0.39,64.0,11,6.1,9,Electronic Arts,E,2010s,Other,2.4849066497880004,2.302585092994046
PS3,2008,Action,Sega,0.39,82.0,37,8.1,89,Monolith Productions,M,2000s,Other,3.6375861597263857,4.499809670330265
PS2,2003,Misc,Ubisoft,0.39,79.0,9,7.3,13,Ubisoft Romania,E,2000s,Other,2.302585092994046,2.639057329615259
X360,2012,Shooter,Take-Two Interactive,0.39,80.0,71,7.5,219,Digital Extremes,M,2010s,Other,4.276666119016055,5.393627546352361
PS2,2006,Platform,Vivendi Games,0.39,68.0,19,8.0,6,Eurocom Entertainment Software,E10+,2000s,Other,2.995732273553991,1.9459101490553132
GBA,2005,Simulation,Electronic Arts,0.39,58.0,11,7.5,6,Maxis,E10+,2000s,Other,2.4849066497880004,1.9459101490553132
X360,2006,Action,Eidos Interactive,0.39,82.0,53,8.7,102,Io Interactive,M,2000s,Other,3.9889840465642745,4.634728988229636
DS,2005,Strategy,Nintendo,0.39,90.0,49,9.0,163,Intelligent Systems,E,2000s,Other,3.912023005428146,5.099866427824199
PS2,2002,Racing,Capcom,0.39,66.0,20,7.5,13,Capcom,E,2000s,Other,3.044522437723423,2.639057329615259
XB,2005,Shooter,Ubisoft,0.39,84.0,40,7.2,35,Red Storm Entertainment,T,2000s,Other,3.713572066704308,3.58351893845611
PS2,2007,Sports,Electronic Arts,0.39,65.0,10,7.5,27,EA Salt Lake,E,2000s,Other,2.3978952727983707,3.332204510175204
PS4,2014,Misc,Ubisoft,0.39,72.0,8,5.8,32,Ubisoft,E10+,2010s,Other,2.1972245773362196,3.4965075614664802
3DS,2011,Action,Tecmo Koei,0.39,61.0,30,7.7,35,Omega Force,T,2010s,Other,3.4339872044851463,3.58351893845611
PS2,2008,Misc,Konami Digital Entertainment,0.39,76.0,4,7.5,27,Blitz Games,E,2000s,Other,1.6094379124341003,3.332204510175204
3DS,2013,Action,Namco Bandai Games,0.39,75.0,5,7.6,26,Ganbarion,T,2010s,Other,1.791759469228055,3.295836866004329
X360,2010,Sports,Electronic Arts,0.39,68.0,21,5.4,9,EA Canada,E,2010s,Other,3.091042453358316,2.302585092994046
PS3,2008,Racing,Capcom,0.39,65.0,21,6.0,9,Milestone S.r.l,E,2000s,Other,3.091042453358316,2.302585092994046
X360,2011,Shooter,THQ,0.39,71.0,74,7.0,77,Volition Inc.,M,2010s,Other,4.31748811353631,4.356708826689592
GBA,2003,Sports,Electronic Arts,0.39,53.0,6,8.3,9,Magic Pockets,E,2000s,Other,1.9459101490553132,2.302585092994046
PS3,2011,Role-Playing,Square Enix,0.39,71.0,52,6.3,86,Obsidian Entertainment,T,2010s,Other,3.970291913552122,4.465908118654584
PS2,2003,Role-Playing,Ghostlight,0.38,82.0,42,8.7,83,Atlus Co.,M,2000s,Other,3.7612001156935624,4.430816798843313
X360,2013,Simulation,Focus Home Interactive,0.38,33.0,12,6.2,30,Giants Software,E,2010s,Other,2.5649493574615367,3.4339872044851463
XB,2004,Sports,Sega,0.38,86.0,18,8.3,11,Visual Concepts,E,2000s,Other,2.9444389791664403,2.4849066497880004
PS2,2007,Action,Warner Bros. Interactive Entertainment,0.38,38.0,10,3.9,7,Red Tribe,E10+,2000s,Other,2.3978952727983707,2.0794415416798357
PS3,2006,Role-Playing,Activision,0.38,78.0,35,7.6,49,Raven Software,T,2000s,Other,3.58351893845611,3.912023005428146
3DS,2011,Role-Playing,Ghostlight,0.38,78.0,27,8.2,97,Atlus,T,2010s,Other,3.332204510175204,4.584967478670572
PS2,2001,Sports,Sony Computer Entertainment,0.38,51.0,18,4.6,5,Red Zone Entertainment,E,2000s,Other,2.9444389791664403,1.791759469228055
Wii,2008,Fighting,Tomy Corporation,0.38,72.0,20,8.4,16,Eighting,T,2000s,Other,3.044522437723423,2.833213344056216
GC,2002,Shooter,Acclaim Entertainment,0.38,70.0,19,7.0,21,Acclaim,M,2000s,Other,2.995732273553991,3.091042453358316
PS3,2007,Sports,Electronic Arts,0.38,77.0,13,7.9,28,EA Sports,E,2000s,Other,2.639057329615259,3.367295829986474
GBA,2002,Action,Ubisoft,0.38,47.0,11,7.5,27,Artificial Mind and Movement,E,2000s,Other,2.4849066497880004,3.332204510175204
PS2,2008,Sports,Sega,0.38,70.0,9,8.3,4,Sumo Digital,E10+,2000s,Other,2.302585092994046,1.6094379124341003
PS2,2002,Action,Sega,0.38,74.0,24,7.8,19,Amuze,M,2000s,Other,3.2188758248682006,2.995732273553991
PS3,2008,Action,Sega,0.38,65.0,38,7.4,32,Creative Assembly,M,2000s,Other,3.6635616461296463,3.4965075614664802
PS4,2015,Misc,Harmonix Music Systems,0.38,78.0,51,6.3,87,Harmonix Music Systems,T,2010s,Other,3.9512437185814275,4.477336814478207
GC,2005,Fighting,Electronic Arts,0.38,54.0,19,5.7,24,"EA Canada, Nihilistic",T,2000s,Other,2.995732273553991,3.2188758248682006
Wii,2007,Sports,505 Games,0.38,52.0,11,5.4,23,Point of View,E,2000s,Other,2.4849066497880004,3.1780538303479458
PS2,2005,Misc,THQ,0.38,60.0,7,5.1,7,Blitz Games,E,2000s,Other,2.0794415416798357,2.0794415416798357
PS2,2004,Racing,Empire Interactive,0.38,70.0,30,8.5,16,Bugbear,T,2000s,Other,3.4339872044851463,2.833213344056216
PC,2016,Shooter,Electronic Arts,0.38,88.0,54,7.6,1137,EA DICE,M,2010s,Other,4.007333185232471,7.037027614686276
GC,2003,Sports,Electronic Arts,0.38,92.0,27,8.7,45,EA Canada,E,2000s,Other,3.332204510175204,3.828641396489095
3DS,2012,Action,Konami Digital Entertainment,0.38,78.0,46,7.8,167,Kojima Productions,M,2010s,Other,3.8501476017100584,5.123963979403259
PSP,2006,Platform,Sony Computer Entertainment,0.38,83.0,67,8.7,89,SCE Japan Studio,E,2000s,Other,4.219507705176107,4.499809670330265
PS2,2003,Strategy,Atari,0.38,60.0,9,8.8,25,Cyberlore Studios,T,2000s,Other,2.302585092994046,3.258096538021482
PS4,2016,Role-Playing,Square Enix,0.38,84.0,59,7.6,511,Eidos Montreal,M,2010s,Other,4.0943445622221,6.238324625039508
PS2,2002,Role-Playing,Enix Corporation,0.38,68.0,16,6.5,15,Game Arts,T,2000s,Other,2.833213344056216,2.772588722239781
DS,2007,Simulation,Atari,0.38,57.0,4,7.5,27,NanaOn-Sha,E,2000s,Other,1.6094379124341003,3.332204510175204
PS2,2000,Shooter,Konami Digital Entertainment,0.38,63.0,23,7.5,27,KCET,M,2000s,Other,3.1780538303479458,3.332204510175204
PS2,2008,Action,Sega,0.38,50.0,4,6.0,5,Edge of Reality,T,2000s,Other,1.6094379124341003,1.791759469228055
PS2,2008,Shooter,Electronic Arts,0.38,49.0,10,7.4,31,Artificial Mind and Movement,T,2000s,Other,2.3978952727983707,3.4657359027997265
PC,2011,Action,THQ,0.38,84.0,22,8.1,1263,Volition Inc.,M,2010s,Other,3.1354942159291497,7.142036574706803
DS,2010,Adventure,Capcom,0.38,83.0,60,9.0,127,Capcom,T,2010s,Other,4.110873864173311,4.852030263919617
XB,2002,Action,Interplay,0.38,79.0,28,8.9,20,High Voltage Software,M,2000s,Other,3.367295829986474,3.044522437723423
PS2,2007,Racing,THQ,0.38,53.0,13,8.2,5,Rainbow Studios,E,2000s,Other,2.639057329615259,1.791759469228055
PC,2009,Simulation,Ubisoft,0.38,82.0,32,8.8,132,"Blue Byte, Related Designs",T,2000s,Other,3.4965075614664802,4.890349128221754
PS3,2010,Sports,Black Bean Games,0.38,73.0,4,5.8,4,Lightning Fish Games,E,2010s,Other,1.6094379124341003,1.6094379124341003
DS,2009,Action,Activision,0.38,54.0,4,7.5,27,Activision,E,2000s,Other,1.6094379124341003,3.332204510175204
GC,2003,Adventure,Nintendo,0.38,55.0,21,6.0,22,Ambrella,E,2000s,Pokemon,3.091042453358316,3.1354942159291497
PSP,2010,Action,Sega,0.38,49.0,8,7.5,27,High Voltage Software,T,2010s,Other,2.1972245773362196,3.332204510175204
PS3,2009,Sports,Sega,0.38,70.0,34,6.3,21,Sumo Digital,E,2000s,Other,3.5553480614894135,3.091042453358316
Wii,2007,Adventure,Ubisoft,0.38,70.0,4,8.1,12,Yuke's,E,2000s,Other,1.6094379124341003,2.5649493574615367
PS2,2008,Action,Activision,0.38,56.0,4,5.8,6,Toys for Bob,E,2000s,Other,1.6094379124341003,1.9459101490553132
DS,2009,Racing,Electronic Arts,0.38,70.0,7,6.3,7,Firebrand Games,E10+,2000s,Other,2.0794415416798357,2.0794415416798357
PSP,2009,Fighting,Namco Bandai Games,0.38,61.0,22,6.6,19,CyberConnect2,T,2000s,Other,3.1354942159291497,2.995732273553991
PSP,2007,Sports,Electronic Arts,0.38,72.0,8,7.5,27,EA Salt Lake,E,2000s,Other,2.1972245773362196,3.332204510175204
PC,2005,Strategy,Microsoft Game Studios,0.38,81.0,52,7.7,519,Ensemble Studios,T,2000s,Other,3.970291913552122,6.253828811575473
PS2,2004,Misc,Sony Computer Entertainment,0.38,78.0,30,7.0,9,SCEE,E10+,2000s,Other,3.4339872044851463,2.302585092994046
XB,2005,Simulation,Konami Digital Entertainment,0.38,75.0,16,8.6,8,Konami,E10+,2000s,Other,2.833213344056216,2.1972245773362196
