Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
WiiU,2014,Racing,Nintendo,7.09,88.0,82,9.1,1599,Nintendo,E,2010s,Mario,4.418840607796598,7.3777589082278725
GC,2001,Fighting,Nintendo,7.07,92.0,38,9.1,568,HAL Labs,T,2000s,Other,3.6635616461296463,6.343880434126331
PS2,2004,Racing,Electronic Arts,6.9,82.0,39,8.6,132,EA Canada,E,2000s,Other,3.6888794541139363,4.890349128221754
PS2,2002,Shooter,Electronic Arts,6.83,88.0,29,8.5,135,EA LA,T,2000s,Other,3.4011973816621555,4.912654885736052
Wii,2012,Misc,Ubisoft,6.76,74.0,10,7.3,28,Ubisoft,E10+,2010s,Other,2.3978952727983707,3.367295829986474
X360,2008,Shooter,Microsoft Game Studios,6.75,93.0,90,7.7,2739,Epic Games,M,2000s,Other,4.51085950651685,7.915713199382116
PS3,2011,Action,Sony Computer Entertainment,6.74,92.0,97,8.3,3712,Naughty Dog,T,2010s,Other,4.584967478670572,8.21959545417708
PS3,2007,Shooter,Activision,6.68,94.0,44,8.4,993,Infinity Ward,M,2000s,Call of Duty,3.8066624897703196,6.901737206656574
PS3,2009,Action,Sony Computer Entertainment,6.66,96.0,105,8.8,5187,Naughty Dog,T,2000s,Other,4.663439094112067,8.554103545436334
DS,2005,Misc,Nintendo,6.62,74.0,45,7.4,27,Nintendo,E,2000s,Other,3.828641396489095,3.332204510175204
PS3,2010,Action,Take-Two Interactive,6.49,95.0,73,8.8,2456,Rockstar San Diego,M,2010s,Other,4.304065093204169,7.806696372521179
PS3,2013,Sports,Electronic Arts,6.47,86.0,37,4.3,576,EA Canada,E,2010s,FIFA,3.6375861597263857,6.3578422665081
PS3,2012,Action,Ubisoft,6.45,85.0,41,6.9,1307,Ubisoft,M,2010s,Other,3.7376696182833684,7.176254532017144
Wii,2010,Platform,Nintendo,6.44,87.0,77,8.6,368,Retro Studios,E,2010s,Other,4.356708826689592,5.910796644040527
XB,2001,Shooter,Microsoft Game Studios,6.43,97.0,68,8.6,1283,Bungie Software,M,2000s,Other,4.23410650459726,7.157735484249907
PS3,2011,Role-Playing,Bethesda Softworks,6.41,92.0,16,6.4,2527,Bethesda Game Studios,M,2010s,Other,2.833213344056216,7.835183755266748
GBA,2004,Role-Playing,Nintendo,6.41,76.0,28,9.0,222,Game Freak,E,2000s,Pokémon,3.367295829986474,5.407171771460119
PS2,2002,Role-Playing,Sony Computer Entertainment,6.4,85.0,46,8.8,597,SquareSoft,E,2000s,Other,3.8501476017100584,6.393590753950631
X360,2009,Shooter,Microsoft Game Studios,6.34,83.0,94,7.1,1163,"Bungie Software, Bungie",M,2000s,Other,4.553876891600541,7.059617628291383
X360,2010,Action,Take-Two Interactive,6.32,95.0,96,9.0,2316,Rockstar San Diego,M,2010s,Other,4.574710978503383,7.748028524432376
GC,2002,Platform,Nintendo,6.31,92.0,61,8.6,439,Nintendo,E,2000s,Mario,4.127134385045092,6.0867747269123065
PC,2004,Role-Playing,Activision,6.29,93.0,57,7.3,2182,Blizzard Entertainment,T,2000s,Other,4.060443010546419,7.688455356549944
PS,1999,Action,GT Interactive,6.27,87.0,22,8.1,78,Reflections Interactive,T,1990s,Other,3.1354942159291497,4.3694478524670215
X360,2011,Shooter,Microsoft Game Studios,6.21,91.0,96,7.8,1504,Epic Games,M,2010s,Other,4.574710978503383,7.316548177182976
X360,2010,Sports,Microsoft Game Studios,6.19,73.0,51,7.4,95,Rare Ltd.,E10+,2010s,Other,3.9512437185814275,4.564348191467836
X360,2006,Shooter,Microsoft Game Studios,6.09,94.0,88,8.3,2295,Epic Games,M,2000s,Other,4.48863636973214,7.738923757439457
PS4,2014,Sports,Electronic Arts,6.08,82.0,47,5.7,988,EA Sports,E,2010s,FIFA,3.8712010109078907,6.8966943316227125
PS2,2001,Action,Konami Digital Entertainment,6.05,96.0,42,8.7,1026,KCEJ,M,2000s,Other,3.7612001156935624,6.934397209928558
