Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
XOne,2016,Fighting,Namco Bandai Games,81.0,11,8.5,51,CyberConnect2,T,2010s,Other,2.4849066497880004,3.951243718581428
X360,2005,Sports,Take-Two Interactive,75.0,37,6.1,24,2K Sports,E10+,2000s,Other,3.6375861597263857,3.218875824868201
PC,2008,Shooter,Electronic Arts,84.0,56,7.9,516,Crytek,M,2000s,Other,4.04305126783455,6.248042874508429
X360,2007,Sports,Electronic Arts,73.0,37,5.3,19,EA Canada,E,2000s,Other,3.6375861597263857,2.995732273553991
GC,2002,Sports,Sega,76.0,31,8.1,9,Sega AM2,E,2000s,Other,3.4657359027997265,2.302585092994046
PS3,2007,Shooter,Vivendi Games,72.0,31,7.4,64,Day 1 Studios,M,2000s,Other,3.4657359027997265,4.174387269895637
PS2,2005,Racing,Yuke's,45.0,14,7.5,27,Yuke's,E10+,2000s,Other,2.70805020110221,3.332204510175204
Wii,2008,Shooter,Milestone,66.0,4,7.5,27,MileStone Inc.,E,2000s,Other,1.6094379124341005,3.332204510175204
DS,2007,Shooter,Konami Digital Entertainment,83.0,38,8.4,45,WayForward,T,2000s,Other,3.6635616461296463,3.828641396489095
PS4,2015,Sports,Take-Two Interactive,87.0,51,6.7,364,Visual Concepts,E10+,2010s,Other,3.951243718581428,5.899897353582492
PS2,2001,Simulation,Activision,84.0,25,8.0,21,LucasArts,T,2000s,Other,3.258096538021482,3.091042453358316
PS2,2003,Shooter,Vivendi Games,69.0,21,7.8,16,Argonaut Games,M,2000s,Other,3.091042453358316,2.833213344056216
3DS,2015,Action,Nintendo,73.0,73,7.6,179,Nintendo,E,2010s,Zelda,4.304065093204169,5.19295685089021
GC,2005,Sports,Crave Entertainment,47.0,4,7.5,27,Crave,E,2000s,Other,1.6094379124341005,3.332204510175204
PS3,2011,Action,Square Enix,78.0,37,8.1,60,Crystal Dynamics,T,2010s,Other,3.6375861597263857,4.110873864173311
GBA,2002,Platform,Ubisoft,60.0,4,7.5,27,Visual Impact,E,2000s,Other,1.6094379124341005,3.332204510175204
PSV,2014,Action,Xseed Games,72.0,20,8.5,22,Sandlot,T,2010s,Other,3.044522437723423,3.1354942159291497
PS3,2014,Action,Warner Bros. Interactive Entertainment,80.0,5,6.8,12,TT Games,E10+,2010s,Other,1.791759469228055,2.5649493574615367
XB,2003,Action,THQ,79.0,21,9.1,11,Eurocom Entertainment Software,T,2000s,Other,3.091042453358316,2.4849066497880004
X360,2012,Misc,505 Games,77.0,6,6.7,6,Zoe Mode,E10+,2010s,Other,1.9459101490553128,1.9459101490553128
PS2,2004,Sports,Sony Computer Entertainment,66.0,24,9.1,14,Page 44 Studios,E,2000s,Other,3.218875824868201,2.70805020110221
DS,2008,Puzzle,Game Factory,66.0,8,7.5,27,Two Tribes,E,2000s,Other,2.19722457733622,3.332204510175204
PS3,2008,Racing,Electronic Arts,59.0,40,5.9,71,EA Vancouver,T,2000s,Other,3.713572066704308,4.276666119016055
GC,2004,Misc,Midway Games,74.0,21,7.5,27,Backbone Entertainment,M,2000s,Other,3.091042453358316,3.332204510175204
PS3,2013,Simulation,Focus Home Interactive,40.0,17,2.9,9,Giants Software,E,2010s,Other,2.8903717578961645,2.302585092994046
XB,2002,Sports,Sega,87.0,15,7.9,9,Visual Concepts,E,2000s,Other,2.772588722239781,2.302585092994046
Wii,2010,Action,Nintendo,79.0,71,6.5,482,Team Ninja,T,2010s,Other,4.276666119016055,6.180016653652572
PS2,2006,Sports,Electronic Arts,63.0,12,6.0,39,EA Sports,E,2000s,Other,2.5649493574615367,3.688879454113936
PC,2015,Racing,Codemasters,61.0,13,3.6,63,Codemasters,E,2010s,Other,2.639057329615259,4.158883083359672
DS,2009,Action,Activision,60.0,6,6.7,7,Now Production,E,2000s,Other,1.9459101490553128,2.079441541679836
DS,2008,Simulation,Square Enix,60.0,10,7.5,27,Taito Corporation,E,2000s,Other,2.3978952727983707,3.332204510175204
