Platform,Year_of_Release,Genre,Publisher,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Decade,Franchise,Critic_Count_Log,User_Count_Log
PSV,2014,Action,Tecmo Koei,67.0,19,7.5,61,Koei Tecmo Games,M,2010s,Other,2.995732273553991,4.127134385045092
GC,2003,Sports,Atari,60.0,11,7.5,27,Bandai,E,2000s,Other,2.4849066497880004,3.332204510175204
DS,2008,Puzzle,Majesco Entertainment,48.0,10,7.5,27,Interchannel-Holon,E,2000s,Other,2.3978952727983707,3.332204510175204
PS3,2011,Action,Deep Silver,71.0,41,6.6,405,Techland,M,2010s,Other,3.737669618283368,6.0063531596017325
PS3,2008,Action,Take-Two Interactive,98.0,64,7.5,2833,Rockstar North,M,2000s,Grand Theft Auto,4.174387269895637,7.949444420250626
PS3,2008,Misc,Electronic Arts,54.0,4,6.7,13,Electronic Arts,E,2000s,Other,1.6094379124341005,2.639057329615259
XB,2003,Shooter,Zoo Digital Publishing,55.0,11,7.5,27,Terminal Reality,T,2000s,Other,2.4849066497880004,3.332204510175204
PS2,2002,Shooter,Empire Interactive,57.0,12,6.8,5,Cunning Developments,T,2000s,Other,2.5649493574615367,1.791759469228055
PS2,2004,Shooter,Namco Bandai Games,57.0,16,8.6,11,Capcom,T,2000s,Other,2.833213344056216,2.4849066497880004
PS2,2005,Misc,Ubisoft,65.0,10,7.5,27,Artificial Mind and Movement,T,2000s,Other,2.3978952727983707,3.332204510175204
PS2,2004,Role-Playing,Konami Digital Entertainment,63.0,44,7.3,47,KCET,T,2000s,Other,3.80666248977032,3.8712010109078903
X360,2011,Action,Kalypso Media,52.0,21,6.3,26,Haemimont,T,2010s,Other,3.091042453358316,3.295836866004329
X360,2010,Action,Rising Star Games,68.0,39,8.2,332,Access Games,M,2010s,Other,3.688879454113936,5.808142489980444
PS,1999,Strategy,Tecmo Koei,73.0,9,7.1,9,Koei,E,1990s,Other,2.302585092994046,2.302585092994046
PC,2002,Simulation,Microsoft Game Studios,69.0,16,6.5,22,Microsoft Game Studios,E,2000s,Other,2.833213344056216,3.1354942159291497
PS2,2005,Role-Playing,Activision,82.0,44,7.3,41,Raven Software,T,2000s,Other,3.80666248977032,3.737669618283368
PSP,2006,Puzzle,Atari,62.0,24,7.5,27,Q Entertainment,E10+,2000s,Other,3.218875824868201,3.332204510175204
GBA,2002,Sports,Acclaim Entertainment,77.0,6,7.5,27,Software Creations,E,2000s,Other,1.9459101490553128,3.332204510175204
GC,2002,Fighting,Midway Games,81.0,20,8.7,43,Midway,M,2000s,Other,3.044522437723423,3.784189633918261
XOne,2014,Sports,Take-Two Interactive,82.0,9,6.3,101,Visual Concepts,E,2010s,Other,2.302585092994046,4.624972813284271
X360,2008,Shooter,Codemasters,43.0,44,6.8,87,Spark Unlimited,T,2000s,Other,3.80666248977032,4.477336814478207
PS2,2005,Racing,Sony Computer Entertainment,76.0,46,7.7,63,Naughty Dog,T,2000s,Other,3.8501476017100575,4.158883083359672
PS2,2004,Adventure,Indie Games,60.0,22,8.8,8,From Software,T,2000s,Other,3.1354942159291497,2.19722457733622
PS3,2009,Sports,Activision,44.0,29,2.1,31,Robomodo,E10+,2000s,Other,3.4011973816621555,3.4657359027997265
PC,2007,Shooter,Vivendi Games,61.0,27,7.3,106,TimeGate Studios,M,2000s,Other,3.332204510175204,4.672828834461906
PS4,2016,Misc,Ubisoft,73.0,12,7.5,27,Ubisoft Paris,E10+,2010s,Other,2.5649493574615367,3.332204510175204
PS3,2013,Racing,Electronic Arts,80.0,6,4.9,123,Ghost Games,E10+,2010s,Other,1.9459101490553128,4.820281565605037
X360,2013,Action,Electronic Arts,78.0,68,6.4,694,Visceral Games,M,2010s,Other,4.23410650459726,6.543911845564792
PS3,2008,Shooter,Activision Value,45.0,9,7.4,10,FUN Labs,E10+,2000s,Other,2.302585092994046,2.3978952727983707
PS2,2004,Sports,Activision,83.0,59,8.8,55,Neversoft Entertainment,T,2000s,Other,4.0943445622221,4.02535169073515
Wii,2007,Platform,Activision,53.0,39,5.3,29,Vicarious Visions,T,2000s,Other,3.688879454113936,3.4011973816621555
Wii,2008,Sports,Electronic Arts,82.0,19,7.2,22,EA Tiburon,E,2000s,Madden,2.995732273553991,3.1354942159291497
PS3,2014,Role-Playing,Deep Silver,36.0,8,3.7,77,Piranha Bytes,M,2010s,Other,2.19722457733622,4.356708826689592
PC,2007,Simulation,Electronic Arts,74.0,9,7.3,24,Maxis,T,2000s,Other,2.302585092994046,3.218875824868201
PC,2007,Role-Playing,Activision,91.0,46,7.9,785,Blizzard Entertainment,T,2000s,Other,3.8501476017100575,6.666956792429207
3DS,2011,Misc,Namco Bandai Games,43.0,11,5.4,11,Namco Bandai Games,E,2010s,Other,2.4849066497880004,2.4849066497880004
PS2,2004,Action,Konami Digital Entertainment,59.0,22,8.0,10,Krome Studios,T,2000s,Other,3.1354942159291497,2.3978952727983707
3DS,2011,Action,Activision,50.0,7,6.4,12,Beenox,T,2010s,Other,2.079441541679836,2.5649493574615367
XOne,2015,Action,Bethesda Softworks,75.0,23,8.0,101,MachineGames,Unknown,2010s,Other,3.1780538303479458,4.624972813284271
PS2,2003,Fighting,Atari,75.0,34,7.7,35,CyberConnect2,T,2000s,Other,3.555348061489413,3.58351893845611
PSP,2005,Action,Tecmo Koei,64.0,30,6.4,8,Omega Force,T,2000s,Other,3.4339872044851463,2.19722457733622
X360,2009,Racing,Codemasters,66.0,45,7.0,45,Asobo Studio,E,2000s,Other,3.828641396489095,3.828641396489095
GC,2004,Sports,Electronic Arts,83.0,17,6.7,7,EA Canada,E,2000s,Other,2.8903717578961645,2.079441541679836
PS2,2006,Simulation,Kando Games,53.0,5,7.5,27,Kando Games,E10+,2000s,Other,1.791759469228055,3.332204510175204
XB,2003,Racing,Electronic Arts,83.0,25,8.7,35,Electronic Arts,E,2000s,Other,3.258096538021482,3.58351893845611
XB,2003,Racing,Acclaim Entertainment,88.0,23,5.1,23,Criterion Games,E,2000s,Other,3.1780538303479458,3.1780538303479458
XB,2002,Shooter,Sega,90.0,41,8.5,64,Smilebit,T,2000s,Other,3.737669618283368,4.174387269895637
Wii,2007,Sports,RTL,52.0,15,6.8,4,49Games,E,2000s,Other,2.772588722239781,1.6094379124341005
WiiU,2016,Action,Nintendo,86.0,74,8.4,329,"Tantalus Interactive, Tantatus, Nintendo",T,2010s,Zelda,4.31748811353631,5.799092654460526
PS2,2002,Adventure,Sony Computer Entertainment,52.0,15,7.2,10,Artificial Mind and Movement,E,2000s,Other,2.772588722239781,2.3978952727983707
PS2,2008,Platform,Vivendi Games,73.0,7,6.5,36,Radical Entertainment,E10+,2000s,Other,2.079441541679836,3.610917912644224
X360,2012,Sports,Take-Two Interactive,68.0,19,6.4,22,Visual Concepts,E,2010s,Other,2.995732273553991,3.1354942159291497
GC,2003,Racing,Electronic Arts,54.0,5,6.6,5,Attention To Detail,E,2000s,Other,1.791759469228055,1.791759469228055
Wii,2009,Shooter,Electronic Arts,82.0,76,8.1,82,"Eurocom Entertainment Software, Visceral Games",M,2000s,Other,4.343805421853684,4.418840607796598
PSV,2015,Action,Warner Bros. Interactive Entertainment,70.0,5,7.5,27,TT Fusion,E10+,2010s,Other,1.791759469228055,3.332204510175204
PS3,2010,Sports,Activision,61.0,4,7.5,27,Now Production,E,2010s,Other,1.6094379124341005,3.332204510175204
DS,2010,Role-Playing,Square Enix,77.0,33,7.3,15,TOSE,E,2010s,Other,3.5263605246161616,2.772588722239781
PS2,2003,Platform,Ubisoft,76.0,21,8.6,38,Ubisoft,E,2000s,Other,3.091042453358316,3.6635616461296463
PS2,2005,Fighting,Ignition Entertainment,66.0,21,8.8,6,SNK Playmore,T,2000s,Other,3.091042453358316,1.9459101490553128
DS,2004,Racing,Nintendo,46.0,28,5.9,34,Ambrella,E,2000s,Pokemon,3.367295829986474,3.555348061489413
PS2,2001,Sports,Electronic Arts,89.0,22,8.6,39,NuFX,E,2000s,Other,3.1354942159291497,3.688879454113936
XB,2006,Platform,Activision,61.0,26,7.5,27,Edge of Reality,E10+,2000s,Other,3.295836866004329,3.332204510175204
PS,2000,Platform,Virgin Interactive,69.0,15,8.1,11,Capcom,E,2000s,Other,2.772588722239781,2.4849066497880004
XB,2002,Racing,Microsoft Game Studios,87.0,32,8.3,19,Digital Illusions,E,2000s,Other,3.49650756146648,2.995732273553991
PS2,2000,Sports,Midas Interactive Entertainment,54.0,15,7.5,27,Takara,E,2000s,Other,2.772588722239781,3.332204510175204
DS,2008,Action,Warner Bros. Interactive Entertainment,70.0,4,7.5,27,TT Fusion,E,2000s,Other,1.6094379124341005,3.332204510175204
3DS,2014,Action,Little Orbit,65.0,5,5.6,8,WayForward,E10+,2010s,Other,1.791759469228055,2.19722457733622
PS2,2006,Action,Midway Games,51.0,34,7.0,15,"Pipeworks Software, Inc.",E10+,2000s,Other,3.555348061489413,2.772588722239781
PS,1999,Racing,Sony Computer Entertainment,93.0,23,9.0,135,Polyphony Digital,T,1990s,Other,3.1780538303479458,4.912654885736052
PS3,2009,Shooter,Take-Two Interactive,83.0,58,7.9,427,Gearbox Software,M,2000s,Other,4.07753744390572,6.059123195581797
3DS,2016,Action,505 Games,71.0,6,7.1,21,Re-Logic,T,2010s,Other,1.9459101490553128,3.091042453358316
PC,2010,Strategy,Team17 Software,79.0,28,6.8,185,Team 17,E10+,2010s,Other,3.367295829986474,5.225746673713202
PS2,2002,Racing,THQ,54.0,7,7.1,16,Beyond Games,E,2000s,Other,2.079441541679836,2.833213344056216
XB,2005,Sports,Electronic Arts,81.0,35,8.1,10,EA Canada,E,2000s,Other,3.58351893845611,2.3978952727983707
DS,2006,Action,SouthPeak Games,70.0,29,8.6,5,"Orbital Media, Inc.",E10+,2000s,Other,3.4011973816621555,1.791759469228055
XB,2002,Misc,Infogrames,19.0,4,4.3,7,Data Design Interactive,E,2000s,Other,1.6094379124341005,2.079441541679836
PS2,2001,Sports,Tecmo Koei,71.0,11,9.1,56,Tecmo,E,2000s,Other,2.4849066497880004,4.04305126783455
PS3,2010,Role-Playing,Ubisoft Annecy,55.0,34,6.2,33,Omega Force,T,2010s,Other,3.555348061489413,3.5263605246161616
PS2,2005,Racing,Take-Two Interactive,58.0,5,7.3,8,Eutechnyx,E,2000s,Other,1.791759469228055,2.19722457733622
X360,2007,Sports,Take-Two Interactive,81.0,33,7.0,28,Visual Concepts,E,2000s,Other,3.5263605246161616,3.367295829986474
PC,2015,Racing,Slightly Mad Studios,83.0,48,7.1,418,Slightly Mad Studios,E,2010s,Other,3.8918202981106265,6.037870919922137
X360,2009,Action,Microsoft Game Studios,68.0,65,6.8,55,From Software,M,2000s,Other,4.189654742026425,4.02535169073515
PS3,2009,Action,Sony Computer Entertainment,77.0,33,6.9,30,SCE Japan Studio,E10+,2000s,Other,3.5263605246161616,3.4339872044851463
Wii,2010,Sports,Electronic Arts,84.0,29,8.3,23,EA Sports,E,2010s,Other,3.4011973816621555,3.1780538303479458
PS3,2010,Role-Playing,Sega,72.0,42,8.0,136,Tri-Ace,T,2010s,Other,3.7612001156935615,4.919980925828125
X360,2009,Sports,Electronic Arts,75.0,22,7.5,27,EA Canada,E,2000s,Other,3.1354942159291497,3.332204510175204
XB,2004,Fighting,Electronic Arts,85.0,47,8.7,20,EA Sports,T,2000s,Other,3.8712010109078903,3.044522437723423
PS3,2012,Shooter,Capcom,74.0,34,5.4,1304,Capcom,M,2010s,Other,3.555348061489413,7.173958319756794
XB,2002,Sports,Activision,75.0,16,7.5,27,Rainbow Studios,T,2000s,Other,2.833213344056216,3.332204510175204
X360,2009,Adventure,Codemasters,25.0,27,2.5,41,Team 17,M,2000s,Other,3.332204510175204,3.737669618283368
X360,2012,Action,Bethesda Softworks,88.0,56,7.9,815,Arkane Studios,M,2010s,Other,4.04305126783455,6.704414354964107
PS4,2014,Sports,Unknown,66.0,11,6.3,67,HB Studios Multimedia,E,2010s,Other,2.4849066497880004,4.219507705176107
XB,2004,Action,Activision,83.0,60,8.3,40,Treyarch,T,2000s,Other,4.110873864173311,3.713572066704308
Wii,2008,Platform,Namco Bandai Games,77.0,37,8.6,39,Paon Corporation,E10+,2000s,Other,3.6375861597263857,3.688879454113936
X360,2011,Action,THQ,84.0,70,7.6,490,Volition Inc.,M,2010s,Other,4.262679877041316,6.19644412779452
XB,2004,Role-Playing,Microsoft Game Studios,85.0,87,8.5,268,Big Blue Box,M,2000s,Other,4.477336814478207,5.594711379601839
DS,2009,Action,Activision,50.0,5,6.8,11,LucasArts,T,2000s,Other,1.791759469228055,2.4849066497880004
Wii,2006,Action,Konami Digital Entertainment,75.0,46,7.4,33,Konami,E,2000s,Other,3.8501476017100575,3.5263605246161616
GBA,2002,Action,LSP Games,71.0,14,7.5,27,LSP,T,2000s,Other,2.70805020110221,3.332204510175204
Wii,2009,Simulation,Nintendo,76.0,42,8.5,26,Arika,E10+,2000s,Other,3.7612001156935615,3.295836866004329
X360,2007,Racing,THQ,68.0,24,7.6,21,Juice Games,T,2000s,Other,3.218875824868201,3.091042453358316
PSP,2005,Platform,Sony Computer Entertainment,66.0,35,6.4,16,"SCEA, Sims",E,2000s,Other,3.58351893845611,2.833213344056216
PC,2015,Strategy,Activision,88.0,62,8.3,833,Blizzard Entertainment,T,2010s,Other,4.143134726391533,6.726233402358747
XB,2003,Shooter,Take-Two Interactive,84.0,34,8.4,49,Remedy Entertainment,M,2000s,Other,3.555348061489413,3.912023005428146
PS2,2002,Role-Playing,Ubisoft,78.0,30,8.4,38,"Media Vision, Contrail",T,2000s,Other,3.4339872044851463,3.6635616461296463
PC,2004,Shooter,Activision,87.0,83,7.6,896,id Software,M,2000s,Other,4.430816798843313,6.799055862058796
GC,2002,Shooter,Electronic Arts,77.0,16,8.7,7,Namco,M,2000s,Other,2.833213344056216,2.079441541679836
PS3,2007,Shooter,Namco Bandai Games,60.0,52,7.4,21,Nex Entertainment,T,2000s,Other,3.970291913552122,3.091042453358316
DS,2006,Simulation,Natsume,46.0,7,7.7,6,Beluga Computer,E10+,2000s,Other,2.079441541679836,1.9459101490553128
PS4,2015,Strategy,Kalypso Media,64.0,10,7.1,12,Gaming Minds Studios,T,2010s,Other,2.3978952727983707,2.5649493574615367
WiiU,2013,Action,Capcom,76.0,10,7.9,100,WayForward,E,2010s,Other,2.3978952727983707,4.61512051684126
X360,2011,Sports,Electronic Arts,78.0,55,5.9,94,EA Tiburon,E,2010s,Madden,4.02535169073515,4.553876891600541
PS,2001,Action,BAM! Entertainment,30.0,6,6.3,4,VIS Entertainment,E,2000s,Other,1.9459101490553128,1.6094379124341005
PS3,2008,Misc,Sony Computer Entertainment,70.0,26,5.5,4,SCEE London Studio,T,2000s,Other,3.295836866004329,1.6094379124341005
PS4,2013,Sports,Electronic Arts,87.0,26,6.3,616,EA Canada,E,2010s,FIFA,3.295836866004329,6.424869023905388
X360,2012,Fighting,Atlus,83.0,21,7.3,60,Arc System Works,T,2010s,Other,3.091042453358316,4.110873864173311
PS3,2011,Action,Sega,39.0,35,4.4,19,Liquid Entertainment,T,2010s,Other,3.58351893845611,2.995732273553991
GBA,2002,Action,Electronic Arts,76.0,11,7.9,14,Eurocom Entertainment Software,E,2000s,Other,2.4849066497880004,2.70805020110221
PSV,2013,Action,Sony Computer Entertainment,69.0,16,6.8,10,Novarama,E10+,2010s,Other,2.833213344056216,2.3978952727983707
X360,2008,Sports,Electronic Arts,83.0,24,7.7,26,EA Tiburon,E,2000s,Other,3.218875824868201,3.295836866004329
PC,2004,Shooter,Ubisoft,89.0,72,8.1,724,Crytek,M,2000s,Other,4.290459441148391,6.586171654854675
3DS,2013,Adventure,Nintendo,71.0,27,7.5,21,h.a.n.d. Inc.,E,2010s,Other,3.332204510175204,3.091042453358316
X360,2010,Action,THQ,33.0,7,4.3,6,THQ Australia,E10+,2010s,Other,2.079441541679836,1.9459101490553128
X360,2007,Strategy,Eidos Interactive,73.0,55,7.1,40,Eidos Interactive,T,2000s,Other,4.02535169073515,3.713572066704308
X360,2012,Action,505 Games,54.0,8,3.5,16,505 Games,T,2010s,Other,2.19722457733622,2.833213344056216
PC,2006,Role-Playing,Take-Two Interactive,94.0,54,8.1,2454,Bethesda Softworks,M,2000s,Other,4.007333185232471,7.805882040228621
PS,1999,Role-Playing,SquareSoft,79.0,14,9.0,77,SquareSoft,M,1990s,Other,2.70805020110221,4.356708826689592
PC,2010,Sports,Konami Digital Entertainment,79.0,9,7.5,27,Konami,Unknown,2010s,Other,2.302585092994046,3.332204510175204
Wii,2011,Misc,THQ,59.0,12,7.5,27,WayForward,E,2010s,Other,2.5649493574615367,3.332204510175204
DS,2007,Action,LucasArts,80.0,9,5.4,46,TT Fusion,E,2000s,Other,2.302585092994046,3.8501476017100575
GBA,2003,Racing,Kemco,78.0,12,7.6,5,Tantalus Interactive,E,2000s,Other,2.5649493574615367,1.791759469228055
X360,2007,Strategy,Takara Tomy,46.0,17,7.3,7,Takara Tomy,T,2000s,Other,2.8903717578961645,2.079441541679836
PC,2009,Sports,Electronic Arts,72.0,14,3.8,59,EA Sports,E,2000s,FIFA,2.70805020110221,4.0943445622221
PS2,2003,Action,Activision,77.0,39,8.0,94,"Luxoflux, Inc.",M,2000s,Other,3.688879454113936,4.553876891600541
PS3,2010,Action,Warner Bros. Interactive Entertainment,79.0,42,8.0,52,Traveller's Tales,E10+,2010s,Other,3.7612001156935615,3.970291913552122
XB,2004,Shooter,Global Star,59.0,41,7.5,27,Vicious Cycle,T,2000s,Other,3.737669618283368,3.332204510175204
GC,2004,Action,Nintendo,86.0,55,7.2,74,Nintendo,E,2000s,Zelda,4.02535169073515,4.31748811353631
X360,2009,Racing,THQ,54.0,8,5.8,5,Incinerator Games,E,2000s,Other,2.19722457733622,1.791759469228055
DS,2009,Adventure,THQ,53.0,8,7.5,27,THQ,T,2000s,Other,2.19722457733622,3.332204510175204
GC,2003,Action,Activision,77.0,29,7.3,29,Exakt,M,2000s,Other,3.4011973816621555,3.4011973816621555
Wii,2010,Racing,Focus Home Interactive,74.0,17,6.8,5,Firebrand Games,E,2010s,Other,2.8903717578961645,1.791759469228055
X360,2008,Action,LucasArts,73.0,74,6.7,389,LucasArts,T,2000s,Other,4.31748811353631,5.966146739123692
PS3,2010,Action,Take-Two Interactive,75.0,61,7.7,297,2K Czech,M,2010s,Other,4.127134385045092,5.697093486505405
Wii,2011,Fighting,THQ,68.0,11,7.0,8,THQ,T,2010s,Other,2.4849066497880004,2.19722457733622
DS,2008,Misc,Ubisoft,59.0,4,6.7,6,"Ubisoft, Sensory Sweep",E,2000s,Other,1.6094379124341005,1.9459101490553128
PSV,2014,Role-Playing,Idea Factory,68.0,24,7.1,36,Sting,T,2010s,Other,3.218875824868201,3.610917912644224
PC,2014,Racing,Ubisoft,71.0,12,6.4,463,"Ubisoft Reflections, Ivory Tower",T,2010s,Other,2.5649493574615367,6.139884552226255
PS2,2004,Shooter,Namco Bandai Games,66.0,38,7.5,27,Namco,T,2000s,Other,3.6635616461296463,3.332204510175204
XB,2005,Fighting,THQ,56.0,48,6.9,47,Studio Gigante,T,2000s,Other,3.8918202981106265,3.8712010109078903
PSP,2008,Action,Sony Computer Entertainment,91.0,79,8.6,565,Ready at Dawn,M,2000s,Other,4.382026634673881,6.338594078203183
XB,2004,Shooter,Vivendi Games,73.0,47,8.0,8,2015,M,2000s,Other,3.8712010109078903,2.19722457733622
PC,2007,Role-Playing,DTP Entertainment,57.0,9,5.8,19,Master Creating,M,2000s,Other,2.302585092994046,2.995732273553991
GC,2002,Sports,Konami Digital Entertainment,68.0,6,7.5,27,KCEA,E,2000s,Other,1.9459101490553128,3.332204510175204
X360,2012,Sports,Electronic Arts,83.0,44,6.6,86,Electronic Arts,E10+,2010s,Other,3.80666248977032,4.465908118654584
PS2,2009,Misc,Activision,69.0,6,8.3,6,Beenox,T,2000s,Other,1.9459101490553128,1.9459101490553128
PS2,2004,Role-Playing,Square Enix,67.0,21,8.4,20,Racjin,T,2000s,Other,3.091042453358316,3.044522437723423
XB,2003,Fighting,Capcom,66.0,14,7.3,4,DreamFactory,T,2000s,Other,2.70805020110221,1.6094379124341005
DS,2008,Platform,Nintendo,76.0,40,8.8,76,HAL Labs,E,2000s,Other,3.713572066704308,4.343805421853684
XB,2002,Shooter,Electronic Arts,81.0,18,6.9,23,EA LA,T,2000s,Other,2.9444389791664403,3.1780538303479458
PC,2012,Simulation,Focus Home Interactive,65.0,12,7.5,111,Giants Software,E,2010s,Other,2.5649493574615367,4.718498871295094
PS2,2002,Misc,TDK Mediactive,30.0,4,5.1,17,Mass Media,E,2000s,Other,1.6094379124341005,2.8903717578961645
PS3,2010,Racing,Deep Silver,66.0,36,6.2,13,Techland,E10+,2010s,Other,3.610917912644224,2.639057329615259
PS2,2002,Role-Playing,Atari,75.0,35,8.5,60,CyberConnect2,T,2000s,Other,3.58351893845611,4.110873864173311
XB,2004,Racing,Take-Two Interactive,58.0,12,7.5,27,Razorworks Studios,E,2000s,Other,2.5649493574615367,3.332204510175204
PSP,2006,Action,THQ,48.0,9,6.4,13,Tantalus Interactive,E,2000s,Other,2.302585092994046,2.639057329615259
3DS,2013,Role-Playing,Rising Star Games,47.0,14,6.0,24,TOYBOX,E10+,2010s,Other,2.70805020110221,3.218875824868201
PC,2003,Adventure,Microids,71.0,25,8.0,28,Microids,M,2000s,Other,3.258096538021482,3.367295829986474
PS2,2000,Sports,Sony Computer Entertainment,57.0,9,7.5,27,989 Sports,E,2000s,Other,2.302585092994046,3.332204510175204
PSV,2014,Role-Playing,Sony Computer Entertainment,78.0,26,8.0,84,Alfa System,T,2010s,Other,3.295836866004329,4.442651256490317
X360,2010,Action,Namco Bandai Games,62.0,51,7.6,60,"Namco Bandai Games America, Namco Bandai Games",M,2010s,Other,3.951243718581428,4.110873864173311
GBA,2001,Platform,TDK Mediactive,73.0,8,7.5,27,RFX Interactive,E,2000s,Other,2.19722457733622,3.332204510175204
XB,2002,Sports,Microids,67.0,10,7.5,27,Microids,E,2000s,Other,2.3978952727983707,3.332204510175204
PS3,2008,Racing,Black Bean Games,59.0,7,6.1,8,Milestone S.r.l,E10+,2000s,Other,2.079441541679836,2.19722457733622
DS,2010,Role-Playing,Square Enix,80.0,8,8.0,13,Neverland,E10+,2010s,Other,2.19722457733622,2.639057329615259
DS,2005,Misc,Atari,51.0,17,3.7,7,Taniko,E,2000s,Other,2.8903717578961645,2.079441541679836
PC,2010,Action,Capcom,57.0,22,5.1,67,Airtight Games,T,2010s,Other,3.1354942159291497,4.219507705176107
PC,2004,Strategy,Activision,92.0,58,9.1,1050,Creative Assembly,T,2000s,Other,4.07753744390572,6.957497370876951
PC,2013,Racing,Electronic Arts,76.0,16,3.3,546,Ghost Games,E10+,2010s,Other,2.833213344056216,6.304448802421981
PC,2008,Strategy,JoWood Productions,58.0,7,2.5,19,Enlight Software,E,2000s,Other,2.079441541679836,2.995732273553991
XB,2004,Racing,Empire Interactive,71.0,39,8.2,21,Bugbear,T,2000s,Other,3.688879454113936,3.091042453358316
Wii,2006,Sports,Electronic Arts,81.0,35,8.0,16,EA Canada,E,2000s,Madden,3.58351893845611,2.833213344056216
PS2,2006,Sports,Activision,69.0,17,7.3,19,Shaba Games,T,2000s,Other,2.8903717578961645,2.995732273553991
XB,2005,Misc,Konami Digital Entertainment,80.0,24,7.5,27,Harmonix Music Systems,E10+,2000s,Other,3.218875824868201,3.332204510175204
XB,2004,Misc,Ubisoft,79.0,12,9.0,6,Ubisoft,E,2000s,Other,2.5649493574615367,1.9459101490553128
X360,2011,Shooter,Take-Two Interactive,49.0,76,4.4,456,"Gearbox Software, 3D Realms",M,2010s,Other,4.343805421853684,6.124683390894205
PC,2013,Strategy,THQ,80.0,82,2.1,6157,Relic,M,2010s,Other,4.418840607796598,8.725507328484445
GC,2002,Sports,Electronic Arts,90.0,10,8.0,5,EA Sports,E,2000s,Other,2.3978952727983707,1.791759469228055
X360,2006,Sports,Electronic Arts,72.0,49,6.6,33,EA Canada,E,2000s,FIFA,3.912023005428146,3.5263605246161616
PSP,2007,Misc,Hudson Entertainment,55.0,14,7.8,4,Racjin,E,2000s,Other,2.70805020110221,1.6094379124341005
X360,2009,Action,Ubisoft,73.0,64,7.3,51,Ubisoft Romania,T,2000s,Other,4.174387269895637,3.951243718581428
PSP,2008,Shooter,Square Enix,84.0,29,6.8,13,Taito Corporation,E,2000s,Other,3.4011973816621555,2.639057329615259
PS,1996,Misc,Sony Computer Entertainment,92.0,15,7.4,48,NanaOn-Sha,K-A,1990s,Other,2.772588722239781,3.8918202981106265
PS3,2011,Action,Sony Computer Entertainment,84.0,58,8.4,208,Ready at Dawn,M,2010s,Other,4.07753744390572,5.342334251964811
PS3,2012,Action,Electronic Arts,55.0,22,6.0,250,Danger Close,M,2010s,Other,3.1354942159291497,5.525452939131784
DS,2008,Misc,Nintendo,83.0,48,9.0,63,Nintendo,E,2000s,Other,3.8918202981106265,4.158883083359672
X360,2010,Misc,MTV Games,82.0,63,7.6,85,Harmonix Music Systems,T,2010s,Other,4.158883083359672,4.454347296253507
PS4,2016,Shooter,Electronic Arts,89.0,56,8.4,704,Respawn Entertainment,M,2010s,Other,4.04305126783455,6.558197802812269
XB,2004,Action,BAM! Entertainment,53.0,7,7.5,27,Artificial Mind and Movement,E,2000s,Other,2.079441541679836,3.332204510175204
PSV,2015,Role-Playing,Nippon Ichi Software,76.0,11,8.8,33,Spike Chunsoft,T,2010s,Other,2.4849066497880004,3.5263605246161616
XB,2003,Racing,Vivendi Games,70.0,14,8.9,16,Vicarious Visions,E,2000s,Other,2.70805020110221,2.833213344056216
XB,2002,Sports,Konami Digital Entertainment,68.0,6,7.5,27,KCEA,E,2000s,Other,1.9459101490553128,3.332204510175204
PS2,2002,Sports,Midway Games,73.0,15,8.6,5,Point of View,E,2000s,Other,2.772588722239781,1.791759469228055
PS2,2004,Shooter,Electronic Arts,60.0,38,7.0,32,EA LA,T,2000s,Other,3.6635616461296463,3.49650756146648
XOne,2014,Role-Playing,Electronic Arts,85.0,28,6.9,703,BioWare,M,2010s,Other,3.367295829986474,6.556778356158042
DS,2006,Action,Electronic Arts,33.0,8,4.9,13,EA Tiburon,E,2000s,Other,2.19722457733622,2.639057329615259
PS3,2012,Action,Namco Bandai Games,64.0,33,6.5,55,"Omega Force, Tecmo Koei Games",T,2010s,Other,3.5263605246161616,4.02535169073515
XB,2005,Racing,Ubisoft,51.0,40,6.9,8,Ubisoft Paris,M,2000s,Other,3.713572066704308,2.19722457733622
PS3,2009,Sports,Electronic Arts,85.0,41,6.8,58,EA Tiburon,E,2000s,Madden,3.737669618283368,4.07753744390572
PC,2007,Misc,Aspyr,79.0,15,7.2,63,Aspyr,T,2000s,Other,2.772588722239781,4.158883083359672
PS2,2003,Role-Playing,Square Enix,56.0,35,8.1,38,Racjin,T,2000s,Other,3.58351893845611,3.6635616461296463
X360,2010,Simulation,505 Games,40.0,11,4.2,5,Artech Studios,T,2010s,Other,2.4849066497880004,1.791759469228055
DS,2008,Simulation,Electronic Arts,65.0,20,6.5,21,Griptonite Games,E,2000s,Other,3.044522437723423,3.091042453358316
X360,2007,Action,Namco Bandai Games,55.0,34,6.8,20,"Koei, Omega Force",T,2000s,Other,3.555348061489413,3.044522437723423
X360,2009,Role-Playing,Electronic Arts,86.0,68,7.9,725,BioWare,M,2000s,Other,4.23410650459726,6.587550014824796
XB,2002,Strategy,Eidos Interactive,67.0,12,8.4,5,Pyro Studios,T,2000s,Other,2.5649493574615367,1.791759469228055
PS2,2004,Action,Sega,62.0,29,6.7,7,Amuze,M,2000s,Other,3.4011973816621555,2.079441541679836
GC,2003,Action,TDK Mediactive,27.0,9,3.1,19,TDK Mediactive,T,2000s,Other,2.302585092994046,2.995732273553991
