Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Total_Rating
4,2007,5,19,0.02,0.25,0.0,0.01,71.0,22.0,7.5,24.0,1,73.0
16,2008,6,19,0.12,0.11,0.0,0.02,59.0,7.0,6.1,8.0,2,60.0
4,2007,6,19,0.08,0.0,0.0,0.01,51.0,8.0,7.5,24.0,1,63.0
0,1985,5,2,0.42,0.03,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
16,2011,3,21,0.0,0.16,0.0,0.04,71.0,22.0,7.5,24.0,8,73.0
6,2005,4,23,0.12,0.05,0.0,0.0,52.0,6.0,7.5,24.0,1,63.5
27,2014,6,5,0.03,0.05,0.0,0.01,75.0,15.0,6.0,56.0,1,67.5
19,2012,0,26,0.53,0.48,0.06,0.24,70.0,71.0,7.2,318.0,5,71.0
17,2016,0,19,0.0,0.02,0.0,0.0,52.0,13.0,7.9,34.0,7,65.5
4,2010,0,24,0.07,0.0,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
28,2002,0,25,0.04,0.01,0.0,0.0,77.0,17.0,8.6,16.0,7,81.5
4,2008,1,19,0.04,0.01,0.0,0.0,66.0,20.0,7.5,24.0,7,70.5
4,2009,7,22,1.06,0.26,0.53,0.13,75.0,53.0,7.8,162.0,2,76.5
7,2005,0,26,0.19,0.05,0.0,0.01,81.0,30.0,8.3,8.0,7,82.0
26,2016,4,2,0.09,0.08,0.0,0.02,76.0,4.0,7.5,24.0,2,75.5
17,2015,1,19,0.0,0.0,0.06,0.0,71.0,22.0,7.5,24.0,8,73.0
7,2005,10,10,0.23,0.06,0.0,0.01,88.0,36.0,8.4,16.0,1,86.0
12,2012,0,26,0.28,0.53,0.0,0.12,80.0,21.0,6.2,1489.0,5,71.0
6,2005,3,30,0.05,0.02,0.0,0.0,71.0,22.0,7.5,24.0,1,73.0
28,2005,8,10,0.39,0.15,0.0,0.02,80.0,49.0,8.2,29.0,7,81.0
25,2009,10,20,0.08,0.0,0.0,0.01,45.0,10.0,7.5,24.0,2,60.0
0,1982,0,19,0.58,0.03,0.0,0.01,71.0,22.0,7.5,24.0,8,73.0
14,1998,2,1,1.27,0.42,0.0,0.07,71.0,22.0,7.5,24.0,8,73.0
12,2011,5,19,0.0,0.02,0.0,0.0,71.0,22.0,7.5,24.0,8,73.0
